"ID","WBS","任务名称","任务类型","工期","开始时间","完成时间","前置任务","资源名称","主责资源","协作资源","供应商资源","责任部门","供应商","审核人/审批组","风险等级","里程碑","交付物","备注","原资源名称","资源池导入建议","评审意见"
"133","4.24","MDM一期验收","里程碑","0工作日","2027-02-01","2027-02-01","132","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","项目决策组","高","是","MDM一期验收报告","当前核心开发资源为1人，按高风险控制；10月底上线节点不变 [M]","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"134","5.1.1","服务器与虚拟化平台-到货验收","验收","3工作日","2026-08-17","2026-08-19","12","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","服务器与虚拟化平台到货验收","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"135","5.1.2","服务器与虚拟化平台-虚拟化部署","部署","7工作日","2026-08-20","2026-08-28","134","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","服务器与虚拟化平台虚拟化部署","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"136","5.1.3","服务器与虚拟化平台-资源池配置","部署","7工作日","2026-08-31","2026-09-08","135","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","服务器与虚拟化平台资源池配置","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"137","5.1.4","服务器与虚拟化平台-高可用测试","测试","7工作日","2026-09-09","2026-09-17","136","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","服务器与虚拟化平台高可用测试","基础设施应早于MES测试环境搭建 [M]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"138","5.1.5","服务器与虚拟化平台-验收","验收","3工作日","2026-09-18","2026-09-22","137","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","服务器与虚拟化平台验收","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"139","5.2.1","存储与备份-存储部署","部署","7工作日","2026-09-01","2026-09-09","12","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","存储与备份存储部署","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"140","5.2.2","存储与备份-备份方案配置","部署","7工作日","2026-09-10","2026-09-18","139","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","存储与备份备份方案配置","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"141","5.2.3","存储与备份-备份策略测试","测试","7工作日","2026-09-21","2026-09-29","140","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","存储与备份备份策略测试","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"142","5.2.4","存储与备份-恢复演练","测试","7工作日","2026-09-30","2026-10-08","141","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","存储与备份恢复演练","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"143","5.2.5","存储与备份-验收","验收","3工作日","2026-10-09","2026-10-13","142","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","存储与备份验收","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"144","5.3.1","网络与安全-网络规划","设计","7工作日","2026-08-24","2026-09-01","12","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","网络与安全网络规划","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"145","5.3.2","网络与安全-安全策略配置","部署","7工作日","2026-09-02","2026-09-10","144","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","网络与安全安全策略配置","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"146","5.3.3","网络与安全-账号权限基线","设计","7工作日","2026-09-11","2026-09-21","145","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","网络与安全账号权限基线","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"147","5.3.4","网络与安全-日志审计配置","部署","7工作日","2026-09-22","2026-09-30","146","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","网络与安全日志审计配置","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"148","5.3.5","网络与安全-验收","验收","3工作日","2026-10-01","2026-10-05","147","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","网络与安全验收","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"149","5.4.1","数据库与中间件-数据库部署","部署","7工作日","2026-09-15","2026-09-23","12","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","数据库与中间件数据库部署","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"150","5.4.2","数据库与中间件-中间件部署","部署","7工作日","2026-09-24","2026-10-02","149","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","数据库与中间件中间件部署","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"151","5.4.3","数据库与中间件-测试环境搭建","部署","7工作日","2026-10-05","2026-10-13","150","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","数据库与中间件测试环境搭建","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"152","5.4.4","数据库与中间件-预生产环境搭建","部署","7工作日","2026-10-14","2026-10-22","151","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","高","否","数据库与中间件预生产环境搭建","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"153","5.4.5","数据库与中间件-生产环境搭建","部署","7工作日","2026-10-23","2026-11-02","152","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","高","否","数据库与中间件生产环境搭建","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"154","5.5.1","AI服务器与本地模型-硬件到货验收","验收","3工作日","2026-09-15","2026-09-17","12","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商;AI服务器供应商","基础设施工作组","基础设施供应商;AI服务器供应商","网络工程副主任;技术架构副主任","高","否","AI服务器与本地模型硬件到货验收","基础设施应早于MES测试环境搭建 [M]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"155","5.5.2","AI服务器与本地模型-模型服务部署","部署","7工作日","2026-09-18","2026-09-28","154","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商;AI服务器供应商","基础设施工作组","基础设施供应商;AI服务器供应商","网络工程副主任;技术架构副主任","高","否","AI服务器与本地模型模型服务部署","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"156","5.5.3","AI服务器与本地模型-代码助手接入","部署","7工作日","2026-09-29","2026-10-07","155","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商;AI服务器供应商","基础设施工作组","基础设施供应商;AI服务器供应商","网络工程副主任;技术架构副主任","高","否","AI服务器与本地模型代码助手接入","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"157","5.5.4","AI服务器与本地模型-知识库原型","设计","7工作日","2026-10-08","2026-10-16","156","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商;AI服务器供应商","基础设施工作组","基础设施供应商;AI服务器供应商","网络工程副主任;技术架构副主任","高","否","AI服务器与本地模型知识库原型","基础设施应早于MES测试环境搭建 [M]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"158","5.5.5","AI服务器与本地模型-MDM辅助开发试点","测试","7工作日","2026-10-19","2026-10-27","157","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商;AI服务器供应商","基础设施工作组","基础设施供应商;AI服务器供应商","网络工程副主任;技术架构副主任","高","否","AI服务器与本地模型MDM辅助开发试点","基础设施应早于MES测试环境搭建 [M]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"159","5.5.6","AI服务器与本地模型-试点效果报告","测试","3工作日","2026-10-28","2026-10-30","158","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商;AI服务器供应商","基础设施工作组","基础设施供应商;AI服务器供应商","网络工程副主任;技术架构副主任","高","否","AI服务器与本地模型试点效果报告","基础设施应早于MES测试环境搭建 [M]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"160","5.6.1","虚拟桌面/瘦终端平台-平台部署","部署","7工作日","2026-10-12","2026-10-20","12","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","虚拟桌面/瘦终端平台平台部署","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"161","5.6.2","虚拟桌面/瘦终端平台-镜像模板","设计","7工作日","2026-10-21","2026-10-29","160","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","虚拟桌面/瘦终端平台镜像模板","基础设施应早于MES测试环境搭建 [M]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"162","5.6.3","虚拟桌面/瘦终端平台-账号权限","设计","7工作日","2026-10-30","2026-11-09","161","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","虚拟桌面/瘦终端平台账号权限","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"163","5.6.4","虚拟桌面/瘦终端平台-试点接入","部署","7工作日","2026-11-10","2026-11-18","162","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","虚拟桌面/瘦终端平台试点接入","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"164","5.6.5","虚拟桌面/瘦终端平台-验收","验收","3工作日","2026-11-19","2026-11-23","163","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","虚拟桌面/瘦终端平台验收","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"165","5.7.1","运维监控与日志审计-监控指标设计","设计","7工作日","2026-11-02","2026-11-10","12","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","运维监控与日志审计监控指标设计","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"166","5.7.2","运维监控与日志审计-监控平台配置","部署","7工作日","2026-11-11","2026-11-19","165","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","运维监控与日志审计监控平台配置","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"167","5.7.3","运维监控与日志审计-日志审计联调","设计","7工作日","2026-11-20","2026-11-30","166","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","运维监控与日志审计日志审计联调","基础设施应早于MES测试环境搭建 [M]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"168","5.7.4","运维监控与日志审计-告警演练","测试","7工作日","2026-12-01","2026-12-09","167","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","运维监控与日志审计告警演练","基础设施应早于MES测试环境搭建 [M]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"169","5.7.5","运维监控与日志审计-运维移交","设计","7工作日","2026-12-10","2026-12-18","168","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","运维监控与日志审计运维移交","基础设施应早于MES测试环境搭建 [E]","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"170","5.8","基础设施生产环境就绪","里程碑","0工作日","2027-01-20","2027-01-20","138,143,148,153,159,164,169","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","项目决策组","高","是","生产环境就绪确认单","[M]","网络工程组;技术架构组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"171","6.1","PLM内部调研与问题清单","调研","10工作日","2026-08-03","2026-08-14","12","PLM工作组","PLM工作组","工程技术部","","PLM工作组","","PLM工作组组长;信息化项目管理工作室","中","否","PLM问题清单","供应商未定前只做内部调研和方案 [E]","PLM工作组;工程技术部","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"172","6.2","图文档管理规范草案","设计","8工作日","2026-08-17","2026-08-26","171","PLM工作组","PLM工作组","工程技术部","","PLM工作组","","PLM工作组组长;信息化项目管理工作室","中","否","图文档管理规范","供应商未定前只做内部调研和方案 [E]","PLM工作组;工程技术部","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"173","6.3","EBOM规范草案","设计","8工作日","2026-08-27","2026-09-07","172","PLM工作组","PLM工作组","工程技术部","","PLM工作组","","PLM工作组组长;信息化项目管理工作室","中","否","EBOM规范","供应商未定前只做内部调研和方案 [E]","PLM工作组;工程技术部","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"174","6.4","EBOM到MBOM转换规则草案","设计","10工作日","2026-09-08","2026-09-21","173","PLM工作组","PLM工作组","工程技术部","","PLM工作组","","PLM工作组组长;信息化项目管理工作室","高","否","转换规则草案","供应商未定前只做内部调研和方案 [M]","PLM工作组;工程技术部","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"175","6.5","工艺文件结构化模板草案","设计","10工作日","2026-09-22","2026-10-05","174","PLM工作组","PLM工作组","工程技术部","","PLM工作组","","PLM工作组组长;信息化项目管理工作室","中","否","结构化模板","供应商未定前只做内部调研和方案 [E]","PLM工作组;工程技术部","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"176","6.6","ECN/ECO流程方案草案","设计","8工作日","2026-10-06","2026-10-15","175","PLM工作组","PLM工作组","工程技术部","","PLM工作组","","PLM工作组组长;信息化项目管理工作室","中","否","ECN/ECO方案","供应商未定前只做内部调研和方案 [E]","PLM工作组;工程技术部","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"177","6.7","PLM-MDM集成方案草案","设计","6工作日","2026-10-16","2026-10-23","176","PLM工作组","PLM工作组","工程技术部","","PLM工作组","","PLM工作组组长;信息化项目管理工作室","中","否","集成方案","供应商未定前只做内部调研和方案 [E]","PLM工作组;工程技术部","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"178","6.8","PLM-MES集成方案草案","设计","6工作日","2026-10-26","2026-11-02","177","PLM工作组","PLM工作组","工程技术部","","PLM工作组","","PLM工作组组长;信息化项目管理工作室","中","否","集成方案","供应商未定前只做内部调研和方案 [E]","PLM工作组;工程技术部","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"179","6.9","供应商复核与深化蓝图","设计","10工作日","2026-12-01","2026-12-14","178","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","PLM深化蓝图","最好全有，以实际开发和集成进度为准 [M]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"180","6.10","PLM配置/开发方案确认","设计","8工作日","2026-12-15","2026-12-24","179","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","配置开发方案","最好全有，以实际开发和集成进度为准 [E]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"181","6.11","图文档模块配置/开发","开发","12工作日","2026-12-25","2027-01-11","180","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","模块配置","最好全有，以实际开发和集成进度为准 [E]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"182","6.12","EBOM规范化配置/开发","开发","12工作日","2027-01-12","2027-01-27","181","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","模块配置","最好全有，以实际开发和集成进度为准 [M]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"183","6.13","工艺结构化配置/开发","开发","15工作日","2027-01-28","2027-02-17","182","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","模块配置","最好全有，以实际开发和集成进度为准 [M]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"184","6.14","ECN/ECO流程配置/开发","开发","12工作日","2027-02-18","2027-03-05","183","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","流程配置","最好全有，以实际开发和集成进度为准 [M]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"185","6.15","PLM-MDM接口开发联调","开发/联调","10工作日","2027-03-08","2027-03-19","184","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","接口联调记录","最好全有，以实际开发和集成进度为准 [M]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"186","6.16","PLM-MES接口开发联调","开发/联调","10工作日","2027-03-22","2027-04-02","185","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","接口联调记录","最好全有，以实际开发和集成进度为准 [M]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"187","6.17","PLM系统测试","测试","10工作日","2027-04-05","2027-04-16","186","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","测试报告","最好全有，以实际开发和集成进度为准 [M]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"188","6.18","PLM用户培训","培训","5工作日","2027-04-19","2027-04-23","187","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","培训记录","最好全有，以实际开发和集成进度为准 [E]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"189","6.19","PLM基础深化验收准备","验收","5工作日","2027-04-26","2027-04-30","318","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","工程技术部;项目决策组","高","否","验收材料","最好全有，以实际开发和集成进度为准 [E]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"190","6.20","PLM基础深化验收","里程碑","0工作日","2027-05-01","2027-05-01","189","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","工程技术部;项目决策组","高","是","PLM验收报告","最好全有，以实际开发和集成进度为准 [M]","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"191","7.1","ERP/OA现状与差距分析","调研","10工作日","2026-08-03","2026-08-14","12","ERP·OA工作组","ERP·OA工作组","","用友U8;用友U8实施顾问","ERP·OA工作组","用友U8","财务部;信息化项目管理工作室","中","否","差距分析报告","已有用友U8；2026年不只做接口，还做MRP/采购计划/生产计划补强 [E]","ERP·OA工作组;用友U8实施顾问","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"192","7.2","MRP补强需求规格","需求","10工作日","2026-08-17","2026-08-28","191","ERP·OA工作组","ERP·OA工作组","","用友U8;用友U8实施顾问","ERP·OA工作组","用友U8","财务部;信息化项目管理工作室","高","否","MRP需求规格","已有用友U8；2026年不只做接口，还做MRP/采购计划/生产计划补强 [M]","ERP·OA工作组;用友U8实施顾问","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"193","7.3","采购计划补强需求规格","需求","8工作日","2026-08-31","2026-09-09","192","ERP·OA工作组","ERP·OA工作组","","用友U8;用友U8实施顾问","ERP·OA工作组","用友U8","财务部;信息化项目管理工作室","中","否","采购计划需求规格","已有用友U8；2026年不只做接口，还做MRP/采购计划/生产计划补强 [E]","ERP·OA工作组;用友U8实施顾问","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"194","7.4","生产计划补强需求规格","需求","8工作日","2026-09-10","2026-09-21","193","ERP·OA工作组","ERP·OA工作组","","用友U8;用友U8实施顾问","ERP·OA工作组","用友U8","财务部;信息化项目管理工作室","中","否","生产计划需求规格","已有用友U8；2026年不只做接口，还做MRP/采购计划/生产计划补强 [E]","ERP·OA工作组;用友U8实施顾问","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"195","7.5","OA待办与流程集成需求","需求","6工作日","2026-09-22","2026-09-29","194","ERP·OA工作组","ERP·OA工作组","","用友U8;用友U8实施顾问","ERP·OA工作组","用友U8","财务部;信息化项目管理工作室","中","否","OA集成需求","已有用友U8；2026年不只做接口，还做MRP/采购计划/生产计划补强 [E]","ERP·OA工作组;用友U8实施顾问","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"196","7.6","ERP-MDM接口方案","设计","8工作日","2026-09-30","2026-10-09","314","ERP·OA工作组","ERP·OA工作组","","用友U8;用友U8实施顾问","ERP·OA工作组","用友U8","财务部;信息化项目管理工作室","中","否","接口方案","已有用友U8；2026年不只做接口，还做MRP/采购计划/生产计划补强 [M]","ERP·OA工作组;用友U8实施顾问","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"197","7.7","ERP-MES接口方案","设计","8工作日","2026-10-12","2026-10-21","196","ERP·OA工作组","ERP·OA工作组","","用友U8;用友U8实施顾问","ERP·OA工作组","用友U8","财务部;信息化项目管理工作室","中","否","接口方案","已有用友U8；2026年不只做接口，还做MRP/采购计划/生产计划补强 [M]","ERP·OA工作组;用友U8实施顾问","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"198","7.8","MRP模块配置/开发","开发","20工作日","2026-10-22","2026-11-18","315","ERP·OA工作组","ERP·OA工作组","","用友U8;用友U8实施顾问","ERP·OA工作组","用友U8","财务部;信息化项目管理工作室","高","否","MRP模块","已有用友U8；2026年不只做接口，还做MRP/采购计划/生产计划补强 [M]","ERP·OA工作组;用友U8实施顾问","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
