ID,WBS,任务名称,任务类型,工期,开始时间,完成时间,前置任务,资源名称,责任部门,供应商,审核人/审批组,风险等级,里程碑,交付物,备注,所属视图分类,阶段门编号,是否关键路径控制,版本控制对象,变更等级,联调启动条件,是否H5重点展示,阶段门名称,放行/阻断规则,合同/付款控制口径,H5诊断规则,执行说明
177,4.6.3,数据质量看板样例整理,设计,8工作日,2026-11-27,2026-12-08,176,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,数据质量看板样例,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
178,4.6.4,数据纠正通知机制口径整理,设计,6工作日,2026-12-09,2026-12-16,177,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,纠正通知机制口径,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
445,4.7,AI辅助治理与跨系统评审,摘要,,2026-12-17,2027-01-20,,MDM工作组,MDM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
179,4.7.1,AI辅助治理文档整理规范制定,管理,4工作日,2026-12-17,2026-12-22,178,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,AI辅助治理文档规范,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
180,4.7.2,治理样例核对与问题修正,评审,8工作日,2026-12-23,2027-01-01,179,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,核对记录、问题修正清单,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
181,4.7.3,跨系统主数据口径一致性评审,评审,8工作日,2027-01-04,2027-01-13,180,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,一致性评审记录,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
182,4.7.4,治理资料使用说明编制,培训,5工作日,2027-01-14,2027-01-20,181,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,治理资料使用说明,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
446,4.8,阶段评审与试运行验收,摘要,,2027-01-21,2027-02-03,,MDM工作组,MDM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
183,4.8.1,数据治理沉淀评审准备,评审,3工作日,2027-01-21,2027-01-25,182,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,评审材料,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
184,4.8.2,过渡期规则中心可用口径确认,里程碑,0工作日,2027-01-26,2027-01-26,183,MDM工作组,MDM工作组,,项目决策组,高,是,规则中心可用性确认单,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,G3,是,,,,是,主数据规则中心/数据治理沉淀阶段门,不通过不得作为WBS9联调规则中心准入依据,,,
185,4.8.3,规则中心试运行口径报告,验收,5工作日,2027-01-27,2027-02-02,184,MDM工作组,MDM工作组,,信息化项目管理工作室;数据质量工作组,高,否,规则中心试运行口径报告,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；不作为MDM平台开发上线承诺。,MDM_Version,,,,,,是,,,,,
186,4.8.4,MDM建设准备与数据治理沉淀阶段验收,里程碑,0工作日,2027-02-03,2027-02-03,185,MDM工作组,MDM工作组,,项目决策组,高,是,MDM建设准备验收报告,本阶段聚焦流程地图、数据地图、主数据对象和治理规则沉淀；如需重启平台建设，须另行形成决策和资源基线。,MDM_Version,G6,是,,,,是,主数据规则中心/数据治理沉淀阶段门,不通过不得关闭MDM建设准备阶段,,,
187,5,基础设施与AI运行环境,摘要,,2026-08-03,2027-01-20,,信息化项目组,信息化项目组,,,中,否,,基础设施先行，满足MES测试环境前置条件；AI先支撑数据治理沉淀和知识库,,,,,,,,,,,,
188,5.1,基础资源先行交付,摘要,,2026-08-03,2026-09-25,,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,高,否,基础资源交付包,支撑业务系统测试环境，区别于WBS5基础环境终验。,Infra_Phased,G4,是,,,,是,,,,,
189,5.1.1,基础虚拟化资源池初始化,部署,10工作日,2026-08-03,2026-08-14,,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,高,否,虚拟化初始化记录,G4测试环境验收硬指标前置：资源、网络、访问矩阵、备份Agent、首次备份、恢复抽检、监控、账号、日志。,Infra_Phased,G4,是,,,,是,,,,,
190,5.1.2,基础网络与管理网开通,部署,10工作日,2026-08-17,2026-08-28,189,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,高,否,网络开通记录,G4测试环境验收硬指标前置：资源、网络、访问矩阵、备份Agent、首次备份、恢复抽检、监控、账号、日志。,Infra_Phased,G4,是,,,,是,,,,,
191,5.1.3,测试环境资源配额确认,评审,5工作日,2026-08-31,2026-09-04,190,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,高,否,测试环境资源配额表,G4测试环境验收硬指标前置：资源、网络、访问矩阵、备份Agent、首次备份、恢复抽检、监控、账号、日志。,Infra_Phased,G4,是,,,,是,,,,,
192,5.1.4,PLM测试环境资源交付,里程碑,0工作日,2026-09-07,2026-09-07,191,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,高,是,PLM测试环境资源交付单,G4测试环境验收硬指标前置：资源、网络、访问矩阵、备份Agent、首次备份、恢复抽检、监控、账号、日志。,Infra_Phased,G4,是,,,,是,,,,,
193,5.1.5,MES/低代码平台测试环境资源交付,里程碑,0工作日,2026-09-14,2026-09-14,191,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,高,是,MES/低代码平台测试环境资源交付单,G4测试环境验收硬指标前置：资源、网络、访问矩阵、备份Agent、首次备份、恢复抽检、监控、账号、日志。,Infra_Phased,G4,是,,,,是,,,,,
194,5.1.6,ERP/OA测试环境资源交付,里程碑,0工作日,2026-09-21,2026-09-21,191,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,高,是,ERP/OA测试环境资源交付单,G4测试环境验收硬指标前置：资源、网络、访问矩阵、备份Agent、首次备份、恢复抽检、监控、账号、日志。,Infra_Phased,G4,是,,,,是,,,,,
195,5.1.7,基础资源先行交付验收,验收,3工作日,2026-09-23,2026-09-25,"192,193,194",基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,高,否,基础资源交付验收报告,G4测试环境验收硬指标前置：资源、网络、访问矩阵、备份Agent、首次备份、恢复抽检、监控、账号、日志。,Infra_Phased,G4,是,,,,是,,,,,
196,5.2,服务器与虚拟化平台,摘要,,2026-08-17,2026-09-29,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,,否,,自动生成父级摘要，用于修复 WBS 树结构,Infra_Phased,,,,,,,,,,,
197,5.2.1,服务器与虚拟化平台-到货验收,验收,3工作日,2026-08-17,2026-08-19,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,服务器与虚拟化平台到货验收,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
198,5.2.2,服务器与虚拟化平台-虚拟化部署,部署,7工作日,2026-08-20,2026-08-28,197,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,服务器与虚拟化平台虚拟化部署,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
199,5.2.3,服务器与虚拟化平台-资源池配置,部署,7工作日,2026-08-31,2026-09-08,198,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,服务器与虚拟化平台资源池配置,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
200,5.2.4,资源池隔离划分与业务落位确认,设计/配置,5工作日,2026-09-09,2026-09-15,199,基础设施工作组,基础设施工作组,,信息化项目管理工作室;技术架构组,高,否,PLM/MES/ERP/VDI/AI独立资源池分配表,明确计算、存储、网络、安全边界和业务落位；作为后续测试环境和生产环境部署依据。,Infra_Phased,,,,,,是,,,,,
201,5.2.5,服务器与虚拟化平台-高可用测试,测试,7工作日,2026-09-16,2026-09-24,200,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,服务器与虚拟化平台高可用测试,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
202,5.2.6,服务器与虚拟化平台-验收,验收,3工作日,2026-09-25,2026-09-29,201,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,服务器与虚拟化平台验收,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
203,5.3,存储与备份,摘要,,2026-09-01,2026-11-02,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,,否,,自动生成父级摘要，用于修复 WBS 树结构,Infra_Phased,,,,,,,,,,,
204,5.3.1,存储与备份-存储部署,部署,7工作日,2026-09-01,2026-09-09,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,存储与备份存储部署,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
205,5.3.2,存储与备份-备份方案配置,部署,7工作日,2026-09-10,2026-09-18,204,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,存储与备份备份方案配置,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
206,5.3.3,统一备份平台业务纳管接入,部署,7工作日,2026-09-21,2026-09-29,205,基础设施工作组,基础设施工作组,,信息化项目管理工作室,高,否,各系统备份代理部署清单、业务纳管确认单,覆盖PLM、MES、ERP、QMS、MDM、数据库与关键文件库。,Infra_Phased,,,,,,是,,,,,
207,5.3.4,不可变备份/防勒索策略配置与验证,部署/测试,7工作日,2026-09-30,2026-10-08,206,基础设施工作组,基础设施工作组,,信息化项目管理工作室;数据质量工作组,高,否,不可变备份策略、恢复验证记录、防勒索策略验证报告,形成不可篡改备份、隔离保留、恢复验证的闭环证据。,Infra_Phased,,,,,,是,,,,,
208,5.3.5,存储与备份-备份策略测试,测试,7工作日,2026-10-09,2026-10-19,207,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,存储与备份备份策略测试,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
209,5.3.6,存储与备份-恢复演练,测试,7工作日,2026-10-20,2026-10-28,208,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,存储与备份恢复演练,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
210,5.3.7,存储与备份-验收,验收,3工作日,2026-10-29,2026-11-02,209,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,存储与备份验收,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
211,5.4,网络与安全,摘要,,2026-08-17,2026-10-14,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,,否,,自动生成父级摘要，用于修复 WBS 树结构,Infra_Phased,,,,,,,,,,,
212,5.4.1,机房电力/制冷改造施工与验收,施工/验收,21工作日,2026-08-17,2026-09-14,36,基础设施工作组,基础设施工作组,,信息化项目管理工作室;项目决策组,高,否,机房电力/制冷改造验收单,必须在GPU服务器到货前完成；覆盖UPS扩容、PDU、机柜承重、散热改造。,Infra_Phased,,是,,,,是,,,作为验收或付款资料的一部分，需保留评审、验收或问题闭环证据。,,
213,5.4.2,网络与安全-网络规划,设计,7工作日,2026-08-24,2026-09-01,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,网络与安全网络规划,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
214,5.4.3,网络与安全-安全策略配置,部署,7工作日,2026-09-02,2026-09-10,213,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,网络与安全安全策略配置,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
215,5.4.4,存储网/备份网/心跳网多平面网络隔离联调,联调,7工作日,2026-09-11,2026-09-21,214,基础设施工作组,基础设施工作组,,信息化项目管理工作室;网络工程组,高,否,多平面网络隔离联调记录,覆盖存储网、备份网、心跳网，避免业务网与管理/备份/集群网络混用。,Infra_Phased,,,,,,是,,,,,
216,5.4.5,网络与安全-账号权限基线,设计,7工作日,2026-09-22,2026-09-30,215,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,网络与安全账号权限基线,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
217,5.4.6,网络与安全-日志审计配置,部署,7工作日,2026-10-01,2026-10-09,216,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,网络与安全日志审计配置,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
218,5.4.7,网络与安全-验收,验收,3工作日,2026-10-12,2026-10-14,217,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,网络与安全验收,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
219,5.5,数据库与中间件,摘要,,2026-09-15,2026-11-25,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,,否,,自动生成父级摘要，用于修复 WBS 树结构,Infra_Phased,,,,,,,,,,,
220,5.5.1,数据库与中间件-数据库部署,部署,7工作日,2026-09-15,2026-09-23,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,数据库与中间件数据库部署,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
221,5.5.2,数据库与中间件-中间件部署,部署,7工作日,2026-09-24,2026-10-02,220,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,数据库与中间件中间件部署,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
222,5.5.3,Oracle RAC/Data Guard 集群部署与调优,部署/调优,10工作日,2026-10-05,2026-10-16,221,基础设施工作组,基础设施工作组,,信息化项目管理工作室;技术架构组,高,否,Oracle RAC/Data Guard部署与调优报告,作为ERP、MES、PLM等关键数据库集群能力和容灾能力基础。,Infra_Phased,,,,,,是,,,,,
223,5.5.4,数据库与中间件-测试环境搭建,部署,7工作日,2026-10-19,2026-10-27,222,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,数据库与中间件测试环境搭建,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
224,5.5.5,数据库与中间件-预生产环境搭建,部署,7工作日,2026-10-28,2026-11-05,223,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,高,否,数据库与中间件预生产环境搭建,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
225,5.5.6,数据库与中间件-生产环境搭建,部署,7工作日,2026-11-06,2026-11-16,224,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,高,否,数据库与中间件生产环境搭建,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
226,5.5.7,数据库容灾切换演练与RPO/RTO验证,演练/验证,7工作日,2026-11-17,2026-11-25,225,基础设施工作组,基础设施工作组,,信息化项目管理工作室;项目决策组,高,否,数据库容灾切换演练报告、RPO/RTO验证记录,验证数据库级容灾切换、恢复点目标和恢复时间目标。,Infra_Phased,,,,,,是,,,,,
227,5.6,AI服务器与本地模型,摘要,,2026-09-15,2026-11-23,,基础设施工作组,基础设施工作组,基础设施供应商;AI服务器供应商,网络工程负责人;技术架构负责人,,否,,自动生成父级摘要，用于修复 WBS 树结构,Infra_Phased,,,,,,,,,,,
228,5.6.1,AI服务器与本地模型-硬件到货验收,验收,3工作日,2026-09-15,2026-09-17,212,基础设施工作组,基础设施工作组,基础设施供应商;AI服务器供应商,网络工程负责人;技术架构负责人,高,否,AI服务器与本地模型硬件到货验收,基础设施应早于MES测试环境搭建,Infra_Phased,,是,,,,是,,,作为验收或付款资料的一部分，需保留评审、验收或问题闭环证据。,,
229,5.6.2,Ansys Fluent 环境部署与 GPU Solver 适配确认,部署/适配,9工作日,2026-09-18,2026-09-30,228,基础设施工作组,基础设施工作组,,信息化项目管理工作室;技术架构组,高,否,Ansys Fluent环境部署记录、GPU Solver适配确认单,用于热分布、抽壳湍流模型、复合材料成型工装等仿真场景的GPU求解能力确认。,Infra_Phased,,,,,,是,,,,,
230,5.6.3,Ansys Fluent 代表模型基准测试与验收,测试/验收,7工作日,2026-10-01,2026-10-09,229,基础设施工作组,基础设施工作组,,信息化项目管理工作室;工程技术部,高,否,Fluent代表模型基准测试报告、验收结论,以代表性模型验证GPU Solver加速效果、稳定性、显存占用和并发能力。,Infra_Phased,,是,,,,是,,,作为验收或付款资料的一部分，需保留评审、验收或问题闭环证据。,,
231,5.6.4,AI服务器与本地模型-模型服务部署,部署,7工作日,2026-10-12,2026-10-20,230,基础设施工作组,基础设施工作组,基础设施供应商;AI服务器供应商,网络工程负责人;技术架构负责人,高,否,AI服务器与本地模型模型服务部署,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
232,5.6.5,AI服务器与本地模型-代码助手接入,部署,7工作日,2026-10-21,2026-10-29,231,基础设施工作组,基础设施工作组,基础设施供应商;AI服务器供应商,网络工程负责人;技术架构负责人,高,否,AI服务器与本地模型代码助手接入,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
233,5.6.6,AI服务器与本地模型-知识库原型,设计,7工作日,2026-10-30,2026-11-09,232,基础设施工作组,基础设施工作组,基础设施供应商;AI服务器供应商,网络工程负责人;技术架构负责人,高,否,AI服务器与本地模型知识库原型,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
234,5.6.7,AI服务器与本地模型-MDM辅助开发试点,测试,7工作日,2026-11-10,2026-11-18,233,基础设施工作组,基础设施工作组,基础设施供应商;AI服务器供应商,网络工程负责人;技术架构负责人,高,否,AI服务器与本地模型MDM辅助开发试点,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
235,5.6.8,AI服务器与本地模型-试点效果报告,测试,3工作日,2026-11-19,2026-11-23,234,基础设施工作组,基础设施工作组,基础设施供应商;AI服务器供应商,网络工程负责人;技术架构负责人,高,否,AI服务器与本地模型试点效果报告,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
236,5.7,虚拟桌面/瘦终端平台,摘要,,2026-10-12,2026-11-23,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,,否,,自动生成父级摘要，用于修复 WBS 树结构,Infra_Phased,,,,,,,,,,,
237,5.7.1,虚拟桌面/瘦终端平台-平台部署,部署,7工作日,2026-10-12,2026-10-20,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,虚拟桌面/瘦终端平台平台部署,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
238,5.7.2,虚拟桌面/瘦终端平台-镜像模板,设计,7工作日,2026-10-21,2026-10-29,237,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,虚拟桌面/瘦终端平台镜像模板,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
239,5.7.3,虚拟桌面/瘦终端平台-账号权限,设计,7工作日,2026-10-30,2026-11-09,238,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,虚拟桌面/瘦终端平台账号权限,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
240,5.7.4,虚拟桌面/瘦终端平台-试点接入,部署,7工作日,2026-11-10,2026-11-18,239,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,虚拟桌面/瘦终端平台试点接入,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
241,5.7.5,虚拟桌面/瘦终端平台-验收,验收,3工作日,2026-11-19,2026-11-23,240,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,虚拟桌面/瘦终端平台验收,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,是,,,,,
242,5.8,运维监控与日志审计,摘要,,2026-11-02,2026-12-18,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,,否,,自动生成父级摘要，用于修复 WBS 树结构,Infra_Phased,,,,,,,,,,,
243,5.8.1,运维监控与日志审计-监控指标设计,设计,7工作日,2026-11-02,2026-11-10,,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,运维监控与日志审计监控指标设计,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
244,5.8.2,运维监控与日志审计-监控平台配置,部署,7工作日,2026-11-11,2026-11-19,243,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,运维监控与日志审计监控平台配置,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
245,5.8.3,运维监控与日志审计-日志审计联调,设计,7工作日,2026-11-20,2026-11-30,244,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,运维监控与日志审计日志审计联调,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
246,5.8.4,运维监控与日志审计-告警演练,测试,7工作日,2026-12-01,2026-12-09,245,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,运维监控与日志审计告警演练,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
247,5.8.5,运维监控与日志审计-运维移交,设计,7工作日,2026-12-10,2026-12-18,246,基础设施工作组,基础设施工作组,基础设施供应商,网络工程负责人;技术架构负责人,中,否,运维监控与日志审计运维移交,基础设施应早于MES测试环境搭建,Infra_Phased,,,,,,,,,,,
248,5.9,防勒索与统一灾备体系整体验收,摘要,,2027-01-15,2027-01-19,,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室;项目决策组,高,否,,汇总不可变备份、防勒索、容灾恢复与统一灾备体系的整体能力验收。,Infra_Phased,,是,,,,是,,,,,
249,5.9.1,基础设施防勒索与统一灾备体系整体验收,验收,3工作日,2027-01-15,2027-01-19,"210,226,247",基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室;项目决策组,高,否,基础设施防勒索与统一灾备体系整体验收报告,作为基础设施生产环境就绪前的关键阶段门。,Infra_Phased,,是,,,,是,,,作为验收或付款资料的一部分，需保留评审、验收或问题闭环证据。,,
447,5.10,基础设施生产环境就绪确认,摘要,,2027-01-20,2027-01-20,,基础设施工作组,基础设施工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
250,5.10.1,基础设施生产环境就绪,里程碑,0工作日,2027-01-20,2027-01-20,"202,210,218,226,235,241,247,249",基础设施工作组,基础设施工作组,基础设施供应商,项目决策组,高,是,生产环境就绪确认单,,Gate,,是,,,,是,,不通过不得进入对应供应商进场、上线、验收或总体验收下一阶段。,,,
251,6,PLM基础深化,摘要,,2026-08-03,2027-05-04,,信息化项目组,信息化项目组,,,中,否,,供应商确定前只做内部调研和方案，深化以实际开发集成进度为准,,,,,,,,,,,,
448,6.1,规范草案与集成方案,摘要,,2026-08-03,2026-11-02,,PLM工作组,PLM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
252,6.1.1,PLM内部调研与问题清单,调研,10工作日,2026-08-03,2026-08-14,,PLM工作组,PLM工作组,,PLM工作组组长;信息化项目管理工作室,中,否,PLM问题清单,供应商未定前只做内部调研和方案,,,,,,,,,,,,
253,6.1.2,图文档管理规范草案,设计,8工作日,2026-08-17,2026-08-26,252,PLM工作组,PLM工作组,,PLM工作组组长;信息化项目管理工作室,中,否,图文档管理规范,供应商未定前只做内部调研和方案,,,,,,,,,,,,
254,6.1.3,EBOM规范草案,设计,8工作日,2026-08-27,2026-09-07,253,PLM工作组,PLM工作组,,PLM工作组组长;信息化项目管理工作室,中,否,EBOM规范,供应商未定前只做内部调研和方案,,,,,,,,,,,,
255,6.1.4,EBOM到MBOM转换规则草案,设计,10工作日,2026-09-08,2026-09-21,254,PLM工作组,PLM工作组,,PLM工作组组长;信息化项目管理工作室,高,否,转换规则草案,供应商未定前只做内部调研和方案,,,,,,,是,,,,,
256,6.1.5,工艺文件结构化模板草案,设计,10工作日,2026-09-22,2026-10-05,255,PLM工作组,PLM工作组,,PLM工作组组长;信息化项目管理工作室,中,否,结构化模板,供应商未定前只做内部调研和方案,,,,,,,,,,,,
257,6.1.6,ECN/ECO流程方案草案,设计,8工作日,2026-10-06,2026-10-15,256,PLM工作组,PLM工作组,,PLM工作组组长;信息化项目管理工作室,中,否,ECN/ECO方案,供应商未定前只做内部调研和方案,,,,,,,,,,,,
258,6.1.7,PLM主数据标准映射方案草案,设计,6工作日,2026-10-16,2026-10-23,257,PLM工作组,PLM工作组,,PLM工作组组长;信息化项目管理工作室,中,否,集成方案,按最终执行版统一口径：本期不使用“MDM平台联调”表述，改为主数据标准映射/一致性校验/规则接口校验。,,,,,,,,,,,,
259,6.1.8,PLM-MES集成方案草案,设计,6工作日,2026-10-26,2026-11-02,258,PLM工作组,PLM工作组,,PLM工作组组长;信息化项目管理工作室,中,否,集成方案,供应商未定前只做内部调研和方案；作为 PLM 正式招标发布前的内部需求与接口边界输入。,,,,,,,,,PLM图文档、EBOM、MBOM、ECN/ECO、主数据和集成边界未完成，不得发布 PLM 正式招标文件。,,,PLM正式招标发布前置门。
449,6.2,供应商复核与配置方案确认,摘要,,2026-12-01,2026-12-24,,PLM工作组,PLM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
260,6.2.1,供应商复核与深化蓝图,设计,10工作日,2026-12-01,2026-12-14,259,PLM工作组,PLM工作组,PLM供应商,PLM工作组组长,高,否,PLM深化蓝图,最好全有，以实际开发和集成进度为准,,,,,,,是,,,,,
261,6.2.2,PLM配置/开发方案确认,设计,8工作日,2026-12-15,2026-12-24,260,PLM工作组,PLM工作组,PLM供应商,PLM工作组组长,高,否,配置开发方案,最好全有，以实际开发和集成进度为准,,,,,,,是,,,,,
450,6.3,模块配置开发,摘要,,2026-12-25,2027-03-05,,PLM工作组,PLM工作组,,,高,否,,语义分组新增二级摘要；原二级任务已下沉到本工作包。,,,,,,,,,,,,
262,6.3.1,图文档模块配置/开发,开发,12工作日,2026-12-25,2027-01-11,261,PLM工作组,PLM工作组,PLM供应商,PLM工作组组长,高,否,模块配置,最好全有，以实际开发和集成进度为准,,,,,,,是,,,,,
263,6.3.2,EBOM规范化配置/开发,开发,12工作日,2027-01-12,2027-01-27,262,PLM工作组,PLM工作组,PLM供应商,PLM工作组组长,高,否,模块配置,最好全有，以实际开发和集成进度为准,,,,,,,是,,,,,
264,6.3.3,工艺结构化配置/开发,开发,15工作日,2027-01-28,2027-02-17,263,PLM工作组,PLM工作组,PLM供应商,PLM工作组组长,高,否,模块配置,最好全有，以实际开发和集成进度为准,,,,,,,是,,,,,
